# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits
411333642 2534.55002196 189.632884821 -3.73207595092 198.699333267 -3.73202647487
411333646 2538.11361962 116.134407561 -2.14451771177 121.687945044 -2.14450916887
411333650 2494.11161129 85.5682158047 -1.42813142271 89.6612100746 -1.428150909
411333654 2552.01579133 69.4097529533 -0.99999201384 72.7291243675 -0.999990578956
411333658 2541.38129719 59.9158532349 -0.700202901994 62.7813110521 -0.70020497126
411333662 2535.35610981 54.1541660829 -0.466309490469 56.7439874644 -0.466308343133
411333666 2525.70802803 50.8116553463 -0.26794837595 53.241646128 -0.267947451989
411333670 2544.59652863 49.267777098 -0.0874880042209 51.6239440365 -0.087492061633
411333674 2528.04882578 49.2677832255 0.0874895962994 51.6239325828 0.0874845216404
411333678 2543.76659177 50.81163165 0.26794640544 53.2416646192 0.267948780495
411333682 2513.39547638 54.1541635502 0.466309958888 56.7439442423 0.466305711372
411333686 2513.95875765 59.9159411629 0.700205651089 62.7815230309 0.700212233931
411333690 2552.11895982 69.4101709766 1.0000042644 72.7298006553 1.00000921332
411333694 2545.67889562 85.5683382912 1.42813490989 89.6607386133 1.42813894373
411333698 2544.16481893 116.132910431 2.14448458724 121.688350929 2.14451730055
411333702 2540.43211306 189.631868789 3.73205452369 198.701455997 3.73206881236
411333706 2525.97079063 563.106601939 11.4295067532 590.105037345 11.4308456877
411333710 2539.77006054 -563.144876486 -11.4302886744 -590.030302124 -11.4293860682
411333714 2534.95367259 -189.630159116 -3.73201743789 -198.70287132 -3.73209675975
411333718 2499.15851299 -116.132532154 -2.1444756198 -121.690885294 -2.14457268193
411333722 2539.93192398 -85.5683056458 -1.42813368117 -89.660152746 -1.42812524993
411333726 2554.39084556 -69.4098794428 -0.999996196276 -72.7294235787 -0.999998520286
411333730 2533.68005138 -59.9159365277 -0.700205224148 -62.7815186477 -0.700212156032
411333734 2513.83976522 -54.1541437429 -0.466308374521 -56.7442043967 -0.466318677311
411333738 2551.41900704 -50.8116290202 -0.26794655094 -53.2416957174 -0.267952394358
411333742 2541.61987695 -49.2677883866 -0.0874899282018 -51.623952519 -0.0874898674351
411333746 2527.82133951 -49.2677863989 0.0874877134926 -51.6239237909 0.0874853785149
411333750 2527.52529923 -50.8116092525 0.267946324634 -53.2416951279 0.267950609205
411333754 2541.05673771 -54.1540624562 0.466305171303 -56.7439690728 0.466307239865
411333758 2515.28236237 -59.9161320068 0.700213251432 -62.7817615783 0.700219821224
411333762 2526.88354808 -69.4097971477 0.999993460303 -72.7298235569 1.00000967838
411333766 2533.83919319 -85.5688574255 1.42814743005 -89.6613275422 1.42815340462
411333770 2531.60121046 -116.133731244 2.14450429404 -121.688253636 2.14451511339
411333774 2542.31479304 -189.629262152 3.73200011598 -198.699192749 3.7320234244
411333778 2495.11166571 -563.147684579 11.4303462034 -590.104779585 11.4308388316
