# detid average_r2s y_intercept_low_hits slope_low_hits y_intercept_high_hits slope_high_hits centroid_r centroid_phi centroid_z
412386321 4515.87650526 158.667644448 -2.22191065388 170.911400499 -2.22191011529 67.4598648822 0.423178545184 -264.147536706
419755189 11094.0716596 -200.1696662 -1.67824702429 -209.982288701 -1.6782016748 104.660500915 -2.60402018613 130.327393598
419755181 11003.9654453 -281.867991403 -2.56274437066 -295.711555112 -2.56294505504 104.975629594 -2.77010813852 130.327496245
419755186 10957.4778269 -233.296338747 -2.04554385084 -244.73674109 -2.0455338052 104.966039733 -2.68526685471 128.83753445
419746978 7594.67982033 -126.321006109 -1.10333204761 -133.803465707 -1.10333045577 87.0558514863 -2.40423589336 128.837437447
420246694 3812.55233037 -126.078236258 1.83137359001 -130.974717984 1.83135211092 61.5022966022 -0.497408037769 187.785090205
420242534 3173.53507153 -85.0503610486 -1.17086001534 -88.6637310153 -1.17084197617 56.3712769806 -2.43676504155 184.770051962
420246690 3777.17279023 -100.825587305 1.33584118839 -104.742531268 1.33584603162 61.5579209044 -0.639941982707 185.910100829
420242530 3163.88414116 -105.713624581 -1.63184072019 -110.206454219 -1.63185207828 56.3299744069 -2.59245465181 182.894906044
419746970 7575.35777797 -165.008892637 -1.66838916364 -174.783680255 -1.66839596716 87.1213107003 -2.59990177729 128.837406739
419746973 7536.98798032 -142.407598995 -1.34834930509 -150.842408282 -1.34833942904 87.105786826 -2.50307326401 130.327411005
420246698 3781.39860632 -172.900958896 2.68110860196 -179.61642314 2.68108956265 61.5948588387 -0.358095306573 185.910016199
420242538 3171.70730931 -72.6399554235 -0.854093390222 -75.7260473604 -0.854075541681 56.4028902272 -2.27722462147 182.895050325
419738794 4699.0117046 -69.8863904834 0.31161286057 -75.1497281184 0.311613424476 69.0754415148 -1.26802812027 128.837501729
419738797 4858.12934686 -73.1680423617 0.450060535012 -78.6785280061 0.450060882862 68.953706176 -1.14938878907 130.327521007
412386494 4580.28462048 -105.589888418 1.27640858765 -113.737656955 1.27640499061 67.298422392 -0.664560871953 -262.437457795
420226134 1538.8194495 -38.2079461533 -0.112672037759 -40.5699894463 -0.112672601161 39.0249770172 -1.68164831006 184.770011435
412386497 4565.84227511 -125.873494672 1.65419941907 -135.587425984 1.65421174071 67.3739554653 -0.543893446368 -264.14742845
420226130 1530.59608223 -40.2249953387 -0.349915090051 -42.711786887 -0.349919029492 39.0796264443 -1.905440503 182.894953098
420226138 1520.52732244 -38.2079399609 0.112671909035 -40.5700059703 0.112674416094 39.0689982759 -1.4598089465 182.895025482
412382374 3788.25415608 -126.078212012 1.83137374308 -130.977198622 1.83139734785 61.5400204574 -0.500466557746 -265.569955912
411358462 7584.65768727 -578.131552682 6.74125960528 -612.392735482 6.74143579086 86.9528308424 -0.146754304649 -128.837437572
411358465 7641.43012097 -1728.9193512 20.3559861243 -1831.37845467 20.3565078204 87.0319427217 -0.050245998415 -130.32746029
412382370 3781.3628865 -100.825721773 1.33584365464 -104.741897384 1.33583282738 61.6478865045 -0.645711693487 -267.444974809
412402937 10635.3833248 -109.986449913 0.390198362693 -115.37537394 0.390077688415 104.887625987 -1.19904828458 -264.147414639
412402934 10727.3251919 -106.906817793 0.297710440743 -112.149624135 0.297709057604 104.983238292 -1.28288550311 -262.657410632
412382378 3844.26276958 -172.901376975 2.68111485733 -179.617101119 2.68110121334 61.5242124638 -0.357179910816 -267.444959556
412394625 7325.50627095 1710.39255941 20.3574566955 1812.64336231 20.3555564502 86.2629620035 3.09120651083 -264.147399752
420758654 2264.92665814 -57.0054768004 0.700214711193 -59.8707197117 0.700207972064 47.798850953 -0.959445376974 264.430045397
411333674 2528.04882578 49.2677832255 0.0874895962994 51.6239325828 0.0874845216404 50.1839490975 1.65984350071 -130.609950138
411862137 4595.82412121 -158.66766342 -2.22191077944 -170.912147266 -2.2219213153 67.3979245514 -2.71791263866 -184.487436744
